SYNGENTA INDIA LIMITED,6,GOANDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
GUJARAT ALLOYS CAST PVT. LTD.,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
SHELL INDIA MARKETS PVT. LTD,6,GOANDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
Daimler India Commercial Vehicles Pvt. Ltd,6,B LORE,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
Reliance Industries Limited,6,150 FEET RING ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
Honda Motorcycles & Scooters India Pvt Ltd,6,GOANDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
ITC LIMITED,6,GONDAL ROAD/ ABAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
Asian Paints Limited,6,GONDAL ROAD/ ABAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
RIETER INDIA PVT. LTD,6,GONDAL ROAD/ ABAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
RAJAN TECHNO CAST PVT. LTD.,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
RELIANCE RETAIL LIMITED,6,150 FEET RING ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
SANJIVANI CASTING PVT. LTD.,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
KOTAK MAHINDRA BANK LIMITED,6,YAGNIK ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
CRANE PROCESS FLOW TECHNOLOGIES IND.PVT.LTD.,6,48,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
DUROPLY INDUSTRIES LIMITED,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
WIPRO GE HEALTHCARE PRIVATE LIMITED,6,GONDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
TVS MOTORS COMPANY LIMITED,6,GONDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
Cox & Kings Limited,6,GOANDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
Metal One Corporation India Pvt. Ltd.,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
International Flavours & Fragrances India Pvt Ltd.,6,GOANDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
MURATA MACHINERY INDIA PVT. LTD.,6,MUMBAI,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
DERMASOURCE INDIA,6,RAJKOT,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
"Dover India Pvt Ltd,",6,RAJKOT,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
QUBA ARCHITECTURAL PRODUCTS PVT LTD,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
Eagle Quest International India Pvt Ltd,6,RAJKOT,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
POWER GRID CORPORATION OF INDIA LIMITED,6,BARODA,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
TATA MOTORS LTD,6,GOANDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
EXCEL ENTERPRISE,6,RAJKOT,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
ARROW TECHNO CAST (GUJARAT) PVT. LTD,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
INDUS TOWERS LTD.,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
Sandvik Asia Pvt Ltd,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
Toyo Ink India Pvt. Ltd.,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
GUJARAT GAS LTD,6,150 FEET RING ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
HINDUSTAN COCA COLA BEVERAGES PVT. LTD.,6,GONDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
YES BANK LIMITED,6,YAGNIK ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
KTEX NONWOVENS PRIVATE LIMITED,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
POOJA SALES CORPORATION,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
DHFL,6,YAGNIK ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
NTPC LTD.,6,BARODA,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
CLP WIND FARMS INDIA PRIVATE LIMITED,6,GONDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
IFB INDUSTRIES LIMITED,6,GONDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
LAMBERTI HYDROCOLLOIDS PVT. LTD.,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
FORD INDIA PVT LTD,6,GONDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
MARUTI SUZUKI INDIA LIMITED,6,GONDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
TOYOTA KIRLOSKAR MOTOR PVT. LTD.,6,SHAPER,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
VODAFONE IDEA LIMITED,6,GONDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
ASHOK LEYLAND LTD.,6,GONDAL ROAD,37,319,Rajkot,110,360001,318,rajkot@gmail.com,,,1111111111,1
